search_word	similar_words
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
vervolging	['vervolgingen', 'veroordeling', 'marteling', 'deportatie', 'beraming']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
berechting	['berechten', 'veroordeling', 'veroordeelde', 'oorlogsmisdrijven', 'vervolging']
veenendaal	['apeldoorn', 'amersfoort', 'ede', 'arnhem', 'tiel']
veilig	['veilige', 'zodoende', 'tijdig', 'voldoende', 'genoeg']
thuis	['éénsoap', 'zakendiner', 'priestertje', 'blokfluitles', 'loonstad']
verkrachtingen	['ontvoeringen', 'martelingen', 'berovingen', 'moorden', 'executies']
vietnamese	['quảng', 'việt', 'bà', 'dương', 'quang']
vijfde	['zesde', 'zevende', 'vierde', 'derde', 'achtste']
vog	['eingetragene', 'inspanningsverbintenis', 'antifraudebeleid', 'bogin', 'advertentiefraude']
voodoo	['ktulu', 'morphine', 'crowbar', 'jook', 'dudes']
vrouwenhandel	['mensenhandel', 'comensha', 'seksbranche', 'prostitutie', 'arbeidsuitbuiting']
werk	['oeuvre', 'werken', 'harmonielehre', 'antedateerde', 'abstraheerde']
werken	['werk', 'oratoriumachtige', 'muziekdramatische', 'postseriële', 'theaterwerken']
werkgelegenheid	['arbeidsmarktbeleid', 'landbouw', 'plattelandsbeleid', 'vervoerssector', 'wijkontwikkeling']
wie	['anderen', 'gerrys', 'vman', 'draule', 'neferoere']
is	['cryptoglena', 'rhynchopus', 'clydonella', 'iraniola', 'stigacris']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
youtube	['myspace', 'twitter', 'facebook', 'videos', 'internet']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
ze	['zij', 'afstudeerfeestje', 'riquelle', 'symkyn', 'aftastend']
wilde	['wou', 'moest', 'zag', 'wenste', 'kon']
het	['dit', 'soerabaiasch', 'ander', 'handelsuitgave', 'odnosum']
zelf	['maar', 'alleen', 'daar', 'omdat', 'daarbij']
zicht	['linkerwiel', 'kanonnendek', 'omwaaien', 'schoorsteeneffect', 'aanaarden']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
kwetsbaarheid	['consumptiepatroon', 'dragelijker', 'medicalisatie', 'schuifkrachten', 'onbegaanbaarheid']
overige	['meeste', 'resterende', 'alle', 'behalve', 'beide']
